state,month,year,number,date
Acre,Janeiro,2003,1,1/1/2003
Acre,Janeiro,2005,1,1/1/2005
Acre,Janeiro,2006,1,1/1/2006
Acre,Janeiro,2010,1,1/1/2010
Acre,Janeiro,2015,1,1/1/2015
Acre,Janeiro,2016,1,1/1/2016
Acre,Fevereiro,2002,1,1/1/2002
Acre,Fevereiro,2004,1,1/1/2004
Acre,Fevereiro,2007,1,1/1/2007
Acre,Fevereiro,2009,1,1/1/2009
Acre,Fevereiro,2015,1,1/1/2015
Acre,Fevereiro,2016,1,1/1/2016
Acre,Fevereiro,2017,1,1/1/2017
Acre,Março,2000,1,1/1/2000
Acre,Março,2005,1,1/1/2005
Acre,Março,2007,1,1/1/2007
Acre,Março,2009,1,1/1/2009
Acre,Março,2012,1,1/1/2012
Acre,Março,2013,1,1/1/2013
Acre,Março,2014,1,1/1/2014
Acre,Março,2015,1,1/1/2015
Acre,Abril,2000,1,1/1/2000
Acre,Abril,2003,1,1/1/2003
Acre,Abril,2004,1,1/1/2004
Acre,Abril,2005,1,1/1/2005
Acre,Abril,2010,1,1/1/2010
Acre,Abril,2011,1,1/1/2011
Acre,Abril,2012,1,1/1/2012
Acre,Abril,2013,1,1/1/2013
Acre,Abril,2014,1,1/1/2014
Acre,Abril,2015,1,1/1/2015
Acre,Abril,2017,1,1/1/2017
Acre,Maio,2000,1,1/1/2000
Acre,Maio,2003,1,1/1/2003
Acre,Maio,2004,1,1/1/2004
Acre,Maio,2005,1,1/1/2005
Acre,Maio,2006,1,1/1/2006
Acre,Maio,2007,1,1/1/2007
Acre,Maio,2009,1,1/1/2009
Acre,Maio,2010,1,1/1/2010
Acre,Maio,2011,1,1/1/2011
Acre,Maio,2012,1,1/1/2012
Acre,Maio,2013,1,1/1/2013
Acre,Maio,2014,1,1/1/2014
Acre,Maio,2015,1,1/1/2015
Acre,Maio,2016,1,1/1/2016
Acre,Maio,2017,1,1/1/2017
Acre,Junho,1998,1,1/1/1998
Acre,Junho,2000,1,1/1/2000
Acre,Junho,2001,1,1/1/2001
Acre,Junho,2004,1,1/1/2004
Acre,Junho,2005,1,1/1/2005
Acre,Junho,2006,1,1/1/2006
Acre,Junho,2007,1,1/1/2007
Acre,Junho,2010,1,1/1/2010
Acre,Junho,2011,1,1/1/2011
Acre,Junho,2012,1,1/1/2012
Acre,Junho,2013,1,1/1/2013
Acre,Junho,2014,1,1/1/2014
Acre,Junho,2015,1,1/1/2015
Acre,Junho,2016,1,1/1/2016
Acre,Junho,2017,1,1/1/2017
Acre,Julho,1998,1,1/1/1998
Acre,Julho,1999,1,1/1/1999
Acre,Julho,2000,1,1/1/2000
Acre,Julho,2001,1,1/1/2001
Acre,Julho,2002,1,1/1/2002
Acre,Julho,2003,1,1/1/2003
Acre,Julho,2004,1,1/1/2004
Acre,Julho,2005,1,1/1/2005
Acre,Julho,2006,1,1/1/2006
Acre,Julho,2007,1,1/1/2007
Acre,Julho,2008,1,1/1/2008
Acre,Julho,2009,1,1/1/2009
Acre,Julho,2010,1,1/1/2010
Acre,Julho,2011,1,1/1/2011
Acre,Julho,2012,1,1/1/2012
Acre,Julho,2013,1,1/1/2013
Acre,Julho,2014,1,1/1/2014
Acre,Julho,2015,1,1/1/2015
Acre,Julho,2016,1,1/1/2016
Acre,Julho,2017,1,1/1/2017
Acre,Agosto,1998,1,1/1/1998
Acre,Agosto,1999,1,1/1/1999
Acre,Agosto,2000,1,1/1/2000
Acre,Agosto,2001,1,1/1/2001
Acre,Agosto,2002,1,1/1/2002
Acre,Agosto,2003,1,1/1/2003
Acre,Agosto,2004,1,1/1/2004
Acre,Agosto,2005,1,1/1/2005
Acre,Agosto,2006,1,1/1/2006
Acre,Agosto,2007,1,1/1/2007
Acre,Agosto,2008,1,1/1/2008
Acre,Agosto,2009,1,1/1/2009
Acre,Agosto,2010,1,1/1/2010
Acre,Agosto,2011,1,1/1/2011
Acre,Agosto,2012,1,1/1/2012
Acre,Agosto,2013,1,1/1/2013
Acre,Agosto,2014,1,1/1/2014
Acre,Agosto,2015,1,1/1/2015
Acre,Agosto,2016,1,1/1/2016
Acre,Agosto,2017,1,1/1/2017
Acre,Setembro,1998,1,1/1/1998
Acre,Setembro,1999,1,1/1/1999
Acre,Setembro,2000,1,1/1/2000
Acre,Setembro,2001,1,1/1/2001
Acre,Setembro,2002,1,1/1/2002
Acre,Setembro,2003,1,1/1/2003
Acre,Setembro,2004,1,1/1/2004
Acre,Setembro,2005,1,1/1/2005
Acre,Setembro,2006,1,1/1/2006
Acre,Setembro,2007,1,1/1/2007
Acre,Setembro,2008,1,1/1/2008
Acre,Setembro,2009,1,1/1/2009
Acre,Setembro,2010,1,1/1/2010
Acre,Setembro,2011,1,1/1/2011
Acre,Setembro,2012,1,1/1/2012
Acre,Setembro,2013,1,1/1/2013
Acre,Setembro,2014,1,1/1/2014
Acre,Setembro,2015,1,1/1/2015
Acre,Setembro,2016,1,1/1/2016
Acre,Setembro,2017,1,1/1/2017
Acre,Outubro,1998,1,1/1/1998
Acre,Outubro,1999,1,1/1/1999
Acre,Outubro,2000,1,1/1/2000
Acre,Outubro,2001,1,1/1/2001
Acre,Outubro,2002,1,1/1/2002
Acre,Outubro,2003,1,1/1/2003
Acre,Outubro,2004,1,1/1/2004
Acre,Outubro,2005,1,1/1/2005
Acre,Outubro,2006,1,1/1/2006
Acre,Outubro,2007,1,1/1/2007
Acre,Outubro,2008,1,1/1/2008
Acre,Outubro,2009,1,1/1/2009
Acre,Outubro,2010,1,1/1/2010
Acre,Outubro,2011,1,1/1/2011
Acre,Outubro,2012,1,1/1/2012
Acre,Outubro,2013,1,1/1/2013
Acre,Outubro,2014,1,1/1/2014
Acre,Outubro,2015,1,1/1/2015
Acre,Outubro,2016,1,1/1/2016
Acre,Outubro,2017,1,1/1/2017
Acre,Novembro,2001,1,1/1/2001
Acre,Novembro,2002,1,1/1/2002
Acre,Novembro,2003,1,1/1/2003
Acre,Novembro,2004,1,1/1/2004
Acre,Novembro,2005,1,1/1/2005
Acre,Novembro,2006,1,1/1/2006
Acre,Novembro,2007,1,1/1/2007
Acre,Novembro,2008,1,1/1/2008
Acre,Novembro,2009,1,1/1/2009
Acre,Novembro,2010,1,1/1/2010
Acre,Novembro,2011,1,1/1/2011
Acre,Novembro,2012,1,1/1/2012
Acre,Novembro,2013,1,1/1/2013
Acre,Novembro,2014,1,1/1/2014
Acre,Novembro,2015,1,1/1/2015
Acre,Novembro,2016,1,1/1/2016
Acre,Novembro,2017,1,1/1/2017
Acre,Dezembro,1998,1,1/1/1998
Acre,Dezembro,2002,1,1/1/2002
Acre,Dezembro,2003,1,1/1/2003
Acre,Dezembro,2004,1,1/1/2004
Acre,Dezembro,2005,1,1/1/2005
Acre,Dezembro,2009,1,1/1/2009
Acre,Dezembro,2011,1,1/1/2011
Acre,Dezembro,2012,1,1/1/2012
Acre,Dezembro,2013,1,1/1/2013
Acre,Dezembro,2014,1,1/1/2014
Acre,Dezembro,2015,1,1/1/2015
Acre,Dezembro,2016,1,1/1/2016
Alagoas,Janeiro,1999,1,1/1/1999
Alagoas,Janeiro,2000,1,1/1/2000
Alagoas,Janeiro,2001,1,1/1/2001
Alagoas,Janeiro,2002,1,1/1/2002
Alagoas,Janeiro,2003,1,1/1/2003
Alagoas,Janeiro,2004,1,1/1/2004
Alagoas,Janeiro,2005,1,1/1/2005
Alagoas,Janeiro,2006,1,1/1/2006
Alagoas,Janeiro,2007,1,1/1/2007
Alagoas,Janeiro,2008,1,1/1/2008
Alagoas,Janeiro,2009,1,1/1/2009
Alagoas,Janeiro,2010,1,1/1/2010
Alagoas,Janeiro,2011,1,1/1/2011
Alagoas,Janeiro,2012,1,1/1/2012
Alagoas,Janeiro,2013,1,1/1/2013
Alagoas,Janeiro,2014,1,1/1/2014
Alagoas,Janeiro,2015,1,1/1/2015
Alagoas,Janeiro,2016,1,1/1/2016
Alagoas,Janeiro,2017,1,1/1/2017
Alagoas,Janeiro,2017,1,1/1/2017
Alagoas,Fevereiro,1999,1,1/1/1999
Alagoas,Fevereiro,2000,1,1/1/2000
Alagoas,Fevereiro,2001,1,1/1/2001
Alagoas,Fevereiro,2002,1,1/1/2002
Alagoas,Fevereiro,2003,1,1/1/2003
Alagoas,Fevereiro,2004,1,1/1/2004
Alagoas,Fevereiro,2005,1,1/1/2005
Alagoas,Fevereiro,2006,1,1/1/2006
Alagoas,Fevereiro,2007,1,1/1/2007
Alagoas,Fevereiro,2008,1,1/1/2008
Alagoas,Fevereiro,2009,1,1/1/2009
Alagoas,Fevereiro,2010,1,1/1/2010
Alagoas,Fevereiro,2011,1,1/1/2011
Alagoas,Fevereiro,2012,1,1/1/2012
Alagoas,Fevereiro,2013,1,1/1/2013
Alagoas,Fevereiro,2014,1,1/1/2014
Alagoas,Fevereiro,2015,1,1/1/2015
Alagoas,Fevereiro,2016,1,1/1/2016
Alagoas,Fevereiro,2017,1,1/1/2017
Alagoas,Março,1999,1,1/1/1999
Alagoas,Março,2000,1,1/1/2000
Alagoas,Março,2002,1,1/1/2002
Alagoas,Março,2003,1,1/1/2003
Alagoas,Março,2004,1,1/1/2004
Alagoas,Março,2005,1,1/1/2005
Alagoas,Março,2006,1,1/1/2006
Alagoas,Março,2007,1,1/1/2007
